8302|8334,7400|7432,6773|6808,6204|6236,5420|5459,4822|4855,4101|4135,3363|3409
7869|7902,7105|7144,6530|6562,5967|6001,5191|5223,4507|4544,3785|3819,3028|3066
8415|8447,7472|7505,-1|-1,-1|-1,-1|-1,4890|4940,4189|4222,3463|3495
7985|8019,7182|7220,6607|6639,6036|6081,5260|5292,4590|4623,3863|3902,3120|3156
8486|8567,7543|7576,6849|6888,6300|6332,5498|5530,4974|5006,4262|4302,3540|3580
8110|8142,7262|7294,6955|6993,6368|6402,5588|5621,4667|4699,3942|3975,3202|3240
8599|8631,7676|7708,-1|-1,-1|-1,-1|-1,5039|5073,4356|4389,3626|3660
8180|8212,7331|7364,6688|6727,6118|6150,5332|5366,4742|4775,4024|4057,3285|3318
8286|8318,7384|7416,6757|6792,6188|6220,5404|5443,4806|4839,4085|4119,3347|3393
7853|7886,7089|7128,6514|6546,5951|5985,5175|5207,4491|4528,3769|3803,3012|3050
8399|8431,7456|7489,-1|-1,-1|-1,-1|-1,4874|4924,4173|4206,3447|3479
7969|8003,7166|7204,6591|6623,6020|6065,5244|5276,4574|4607,3847|3886,3104|3140
8470|8551,7527|7560,6833|6872,6284|6316,5482|5514,4958|4990,4246|4286,3524|3564
8094|8126,7246|7278,6939|6977,6352|6386,5572|5605,4651|4683,3926|3959,3186|3224
8583|8615,7660|7692,-1|-1,-1|-1,-1|-1,5023|5057,4340|4373,3610|3644
8164|8196,7315|7348,6672|6711,6102|6134,5316|5350,4726|4759,4008|4041,3269|3302
8294|8326,7392|7424,6765|6800,6196|6228,5412|5451,4814|4847,4093|4127,3355|3401
7861|7894,7097|7136,6522|6554,5959|5993,5183|5215,4499|4536,3777|3811,3020|3058
8407|8439,7464|7497,-1|-1,-1|-1,-1|-1,4882|4932,4181|4214,3455|3487
7977|8011,7174|7212,6599|6631,6028|6073,5252|5284,4582|4615,3855|3894,3112|3148
8478|8559,7535|7568,6841|6880,6292|6324,5490|5522,4966|4998,4254|4294,3532|3572
8102|8134,7254|7286,6947|6985,6360|6394,5580|5613,4659|4691,3934|3967,3194|3232
8591|8623,7668|7700,-1|-1,-1|-1,-1|-1,5031|5065,4348|4381,3618|3652
8172|8204,7323|7356,6680|6719,6110|6142,5324|5358,4734|4767,4016|4049,3277|3310
8278|8310,7376|7408,6749|6784,6180|6212,5396|5435,4798|4831,4077|4111,3339|3385
7845|7878,7081|7120,6506|6538,5943|5977,5167|5199,4483|4520,3761|3795,3004|3042
8391|8423,7448|7481,-1|-1,-1|-1,-1|-1,4866|4916,4165|4198,3439|3471
7961|7995,7158|7196,6583|6615,6012|6057,5236|5268,4566|4599,3839|3878,3096|3132
8462|8543,7519|7552,6825|6864,6276|6308,5474|5506,4950|4982,4238|4278,3516|3556
8086|8118,7238|7270,6931|6969,6344|6378,5564|5597,4643|4675,3918|3951,3178|3216
8575|8607,7652|7684,-1|-1,-1|-1,-1|-1,5015|5049,4332|4365,3602|3636
8156|8188,7307|7340,6664|6703,6094|6126,5308|5342,4718|4751,4000|4033,3261|3294
8298|8330,7396|7428,6769|6804,6200|6232,5416|5455,4818|4851,4097|4131,3359|3405
7865|7898,7101|7140,6526|6558,5963|5997,5187|5219,4503|4540,3781|3815,3024|3062
8411|8443,7468|7501,-1|-1,-1|-1,-1|-1,4886|4936,4185|4218,3459|3491
7981|8015,7178|7216,6603|6635,6032|6077,5256|5288,4586|4619,3859|3898,3116|3152
8482|8563,7539|7572,6845|6884,6296|6328,5494|5526,4970|5002,4258|4298,3536|3576
8106|8138,7258|7290,6951|6989,6364|6398,5584|5617,4663|4695,3938|3971,3198|3236
8595|8627,7672|7704,-1|-1,-1|-1,-1|-1,5035|5069,4352|4385,3622|3656
8176|8208,7327|7360,6684|6723,6114|6146,5328|5362,4738|4771,4020|4053,3281|3314
8282|8314,7380|7412,6753|6788,6184|6216,5400|5439,4802|4835,4081|4115,3343|3389
7849|7882,7085|7124,6510|6542,5947|5981,5171|5203,4487|4524,3765|3799,3008|3046
8395|8427,7452|7485,-1|-1,-1|-1,-1|-1,4870|4920,4169|4202,3443|3475
7965|7999,7162|7200,6587|6619,6016|6061,5240|5272,4570|4603,3843|3882,3100|3136
8466|8547,7523|7556,6829|6868,6280|6312,5478|5510,4954|4986,4242|4282,3520|3560
8090|8122,7242|7274,6935|6973,6348|6382,5568|5601,4647|4679,3922|3955,3182|3220
8579|8611,7656|7688,-1|-1,-1|-1,-1|-1,5019|5053,4336|4369,3606|3640
8160|8192,7311|7344,6668|6707,6098|6130,5312|5346,4722|4755,4004|4037,3265|3298
8290|8322,7388|7420,6761|6796,6192|6224,5408|5447,4810|4843,4089|4123,3351|3397
7857|7890,7093|7132,6518|6550,5955|5989,5179|5211,4495|4532,3773|3807,3016|3054
8403|8435,7460|7493,-1|-1,-1|-1,-1|-1,4878|4928,4177|4210,3451|3483
7973|8007,7170|7208,6595|6627,6024|6069,5248|5280,4578|4611,3851|3890,3108|3144
8474|8555,7531|7564,6837|6876,6288|6320,5486|5518,4962|4994,4250|4290,3528|3568
8098|8130,7250|7282,6943|6981,6356|6390,5576|5609,4655|4687,3930|3963,3190|3228
8587|8619,7664|7696,-1|-1,-1|-1,-1|-1,5027|5061,4344|4377,3614|3648
8168|8200,7319|7352,6676|6715,6106|6138,5320|5354,4730|4763,4012|4045,3273|3306
8274|8306,7372|7404,6745|6780,6176|6208,5392|5431,4794|4827,4073|4107,3335|3381
7841|7874,7077|7116,6502|6534,5939|5973,5163|5195,4479|4516,3757|3791,3000|3038
8387|8419,7444|7477,-1|-1,-1|-1,-1|-1,4862|4912,4161|4194,3435|3467
7957|7991,7154|7192,6579|6611,6008|6053,5232|5264,4562|4595,3835|3874,3092|3128
8458|8539,7515|7548,6821|6860,6272|6304,5470|5502,4946|4978,4234|4274,3512|3552
8082|8114,7234|7266,6927|6965,6340|6374,5560|5593,4639|4671,3914|3947,3174|3212
8571|8603,7648|7680,-1|-1,-1|-1,-1|-1,5011|5045,4328|4361,3598|3632
8152|8184,7303|7336,6660|6699,6090|6122,5304|5338,4714|4747,3996|4029,3257|3290
8300|8332,7398|7430,6771|6806,6202|6234,5418|5457,4820|4853,4099|4133,3361|3407
7867|7900,7103|7142,6528|6560,5965|5999,5189|5221,4505|4542,3783|3817,3026|3064
8413|8445,7470|7503,-1|-1,-1|-1,-1|-1,4888|4938,4187|4220,3461|3493
7983|8017,7180|7218,6605|6637,6034|6079,5258|5290,4588|4621,3861|3900,3118|3154
8484|8565,7541|7574,6847|6886,6298|6330,5496|5528,4972|5004,4260|4300,3538|3578
8108|8140,7260|7292,6953|6991,6366|6400,5586|5619,4665|4697,3940|3973,3200|3238
